Name	count
Armatage	13
Audubon Park	67
Bancroft	37
Beltrami	16
Bottineau	59
Bryant	43
Bryn - Mawr	12
Camden Industrial	21
CARAG	120
Cedar - Isles - Dean	14
Cedar Riverside	174
Central	354
Cleveland	111
Columbia Park	13
Como	54
Cooper	16
Corcoran	153
Diamond Lake	24
Downtown East	26
Downtown West	1094
East Harriet	13
East Isles	56
East Phillips	344
ECCO	25
Elliot Park	202
Ericsson	27
Field	16
Folwell	352
Fulton	13
Hale	5
Harrison	121
Hawthorne	413
Hiawatha	39
Holland	147
Howe	66
Humboldt Industrial Area	1
Jordan	553
Keewaydin	17
Kenny	4
Kenwood	5
King Field	72
Lind - Bohanon	113
Linden Hills	12
Logan Park	42
Longfellow	220
Loring Park	239
Lowry Hill	25
Lowry Hill East	170
Lyndale	238
Lynnhurst	18
Marcy Holmes	192
Marshall Terrace	22
Mckinley	149
Mid - City Industrial	5
Midtown Phillips	373
Minnehaha	25
Morris Park	16
Near - North	416
Nicollet Island - East Bank	25
North Loop	142
Northeast Park	18
Northrop	41
Page	1
Phillips West	235
Powderhorn Park	420
Prospect Park - East River Road	67
Regina	30
Seward	190
Sheridan	60
Shingle Creek	28
St. Anthony East	32
St. Anthony West	31
Standish	85
Steven's Square - Loring Heights	132
Sumner - Glenwood	34
Tangletown	34
University of Minnesota	16
Ventura Village	514
Victory	60
Waite Park	22
Webber - Camden	206
Wenonah	44
West Calhoun	7
Whittier	514
Willard - Hay	417
Windom	45
Windom Park	77
